Amount,Point
600,5425
601,5435
602,5445
603,5455
604,5465
605,5470
606,5480
607,5490
608,5500
609,5510
610,5515
611,5525
612,5535
613,5545
614,5555
615,5560
616,5570
617,5580
618,5590
619,5600
620,5605
621,5615
622,5625
623,5635
624,5645
625,5655
626,5660
627,5670
628,5680
629,5690
630,5700
631,5705
632,5715
633,5725
634,5735
635,5745
636,5750
637,5760
638,5770
639,5780
640,5790
641,5795
642,5805
643,5815
644,5825
645,5835
646,5840
647,5850
648,5860
649,5870
650,5880
651,5890
652,5895
653,5905
654,5915
655,5925
656,5935
657,5940
658,5950
659,5960
660,5970
661,5980
662,5985
663,5995
664,6005
665,6015
666,6025
667,6030
668,6040
669,6050
670,6060
671,6070
672,6080
673,6085
674,6095
675,6105
676,6115
677,6125
678,6130
679,6140
680,6150
681,6160
682,6170
683,6175
684,6185
685,6195
686,6205
687,6215
688,6220
689,6230
690,6240
691,6250
692,6260
693,6265
694,6275
695,6285
696,6295
697,6305
698,6315
699,6320
700,6330
701,6340
702,6350
703,6360
704,6365
705,6375
706,6385
707,6395
708,6405
709,6410
710,6420
711,6430
712,6440
713,6450
714,6455
715,6465
716,6475
717,6485
718,6495
719,6505
720,6510
721,6520
722,6530
723,6540
724,6550
725,6555
726,6565
727,6575
728,6585
729,6595
730,6600
731,6610
732,6620
733,6630
734,6640
735,6645
736,6655
737,6665
738,6675
739,6685
740,6695
741,6700
742,6710
743,6720
744,6730
745,6740
746,6745
747,6755
748,6765
749,6775
750,6785
751,6790
752,6800
753,6810
754,6820
755,6830
756,6835
757,6845
758,6855
759,6865
760,6875
761,6880
762,6890
763,6900
764,6910
765,6920
766,6930
767,6935
768,6945
769,6955
770,6965
771,6975
772,6980
773,6990
774,7000
775,7010
776,7020
777,7025
778,7035
779,7045
780,7055
781,7065
782,7070
783,7080
784,7090
785,7100
786,7110
787,7120
788,7125
789,7135
790,7145
791,7155
792,7165
793,7170
794,7180
795,7190
796,7200
797,7210
798,7215
799,7225
800,7235
801,7245
802,7255
803,7260
804,7270
805,7280
806,7290
807,7300
808,7310
809,7315
810,7325
811,7335
812,7345
813,7355
814,7360
815,7370
816,7380
817,7390
818,7400
819,7405
820,7415
821,7425
822,7435
823,7445
824,7450
825,7460
826,7470
827,7480
828,7490
829,7495
830,7505
831,7515
832,7525
833,7535
834,7545
835,7550
836,7560
837,7570
838,7580
839,7590
840,7595
841,7605
